id|name|trackid|trackname
p01|Ashkenazy|p01_017|"01 Vladimir Ashkenazy (CD1) - W.A. Mozart - Sonata in D major for two pianos, K. 448 I. Allegro con spirito-1"
p01|Ashkenazy|p01_018|"01 Vladimir Ashkenazy - Ballade No.1 in G minor, op.23-1"
p01|Ashkenazy|p01_019|"01 Vladimir Ashkenazy - Etude Op.2 No.1-1"
p01|Ashkenazy|p01_020|"01. No. 1. Prelude in C major, BWV 846-1"
p01|Ashkenazy|p01_021|"01. No. 10. Prelude in E minor, BWV 879-1"
p01|Ashkenazy|p01_022|"01. No. 19. Prelude in A major, BWV 864-1"
p01|Ashkenazy|p01_023|"01. Waltz in E flat major 'Grande valse brillante', op.18-1"
p01|Ashkenazy|p01_024|"02 - Moments musicaux (6) for piano, Op. 16- 2. Allegretto E flat minor-1"
p01|Ashkenazy|p01_025|"02 - Nocturnes for Piano, B 106 Op. 32 no 1 in B major-1"
p01|Ashkenazy|p01_026|"02 - Polka Peu Dansante, Op.51 No.2-1"
p01|Ashkenazy|p01_027|"02 - Waltzes for Piano, Op. 34 no 2 in A minor, B 64-1"
p01|Ashkenazy|p01_028|"02 Frederik Chopin - Fantaisie-Impromptu in C Sharp Minor, Op. 66-1"
p01|Ashkenazy|p01_029|"02 Frederik Chopin - Prelude in D Flat Major, Op. 28, No. 15 `Raindrop'-1"
p01|Ashkenazy|p01_030|"02 Ludwig van Beethoven -   II. Adagio 2-1"
p01|Ashkenazy|p01_031|"02 Ludwig van Beethoven -   II. Adagio con molto espressione-1"
p01|Ashkenazy|p01_032|"02 Ludwig van Beethoven -   II. Adagio-1"
p01|Ashkenazy|p01_033|"02 Ludwig van Beethoven -   II. Allegretto & Trio-1"
p01|Ashkenazy|p01_034|"02 Ludwig van Beethoven -   II. Andante-1"
p01|Ashkenazy|p01_035|"02 Ludwig van Beethoven -   II. Introduzione Molto adagio"
p01|Ashkenazy|p01_036|"02 Ludwig van Beethoven -   II. Largo e mesto-1"
p01|Ashkenazy|p01_037|"02 Ludwig van Beethoven -   II. Largo, con gran espressione-1"
p01|Ashkenazy|p01_038|"02 Ludwig van Beethoven -   II. Prestissimo-1"
p01|Ashkenazy|p01_039|"02 Ludwig van Beethoven - Piano Sonata No.29 in B-flat major, Op.106 'Hammerklavier' (1819) I. Allegro"
p01|Ashkenazy|p01_040|"02 Vladimir Ashkenazy (CD1) - II. Andante-1"
p01|Ashkenazy|p01_041|"02 Vladimir Ashkenazy - Ballade No.2 in F major, op.38-1"
p01|Ashkenazy|p01_042|"02 Vladimir Ashkenazy - Mazurka Op.3 No.6-1"
p01|Ashkenazy|p01_043|"02. No. 1. Fugue in C major, BWV 846-1"
p01|Ashkenazy|p01_044|"02. No. 10. Fugue in E minor, BWV 879-1"
p01|Ashkenazy|p01_045|"02. No. 19. Fugue in A major, BWV 864-1"
p01|Ashkenazy|p01_046|"02. Waltz in A minor, op.34 no.2-1"
p01|Ashkenazy|p01_047|"03 - Aveu Passione-1"
p01|Ashkenazy|p01_048|"03 - Mazurkas for Piano, B 115-Op. 33 no 2 in D major-1"
p01|Ashkenazy|p01_049|"03 - Moments musicaux (6) for piano, Op. 16- 3. Andante cantabile B minor-1"
p01|Ashkenazy|p01_050|"03 - Waltzes for Piano, Op. 69 no 2 in B minor B 35-1"
p01|Ashkenazy|p01_051|"03 Frederik Chopin - Barcarolle in F Sharp Major, Op. 60-1"
p01|Ashkenazy|p01_052|"03 Frederik Chopin - Waltz in D Flat Major, Op. 64, No. 1 `Minute'-1"
p01|Ashkenazy|p01_053|"03 Ludwig van Beethoven -   II. Scherzo Assai vivace"
p01|Ashkenazy|p01_054|"03 Ludwig van Beethoven -   III. Allegretto-1"
p01|Ashkenazy|p01_055|"03 Ludwig van Beethoven -   III. Allegro-1"
p01|Ashkenazy|p01_056|"03 Ludwig van Beethoven -   III. Andante, molto cantabile ed espressivo-1"
p01|Ashkenazy|p01_057|"03 Ludwig van Beethoven -   III. Menuetto & Trio Allegretto"
p01|Ashkenazy|p01_058|"03 Ludwig van Beethoven -   III. Menuetto 2-1"
p01|Ashkenazy|p01_059|"03 Ludwig van Beethoven -   III. Menuetto-1"
p01|Ashkenazy|p01_060|"03 Ludwig van Beethoven -   III. Prestissimo-1"
p01|Ashkenazy|p01_061|"03 Ludwig van Beethoven -   III. Presto agitato-1"
p01|Ashkenazy|p01_062|"03 Ludwig van Beethoven -   III. Vivace-1"
p01|Ashkenazy|p01_063|"03 Vladimir Ashkenazy (CD1) - III. Allegro molto-1"
p01|Ashkenazy|p01_064|"03 Vladimir Ashkenazy - Ballade No.3 in A flat major, op.47-1"
p01|Ashkenazy|p01_065|"03 Vladimir Ashkenazy - Mazurka Op.3 No.7-1"
p01|Ashkenazy|p01_066|"03. No. 11. Prelude in F major, BWV 880-1"
p01|Ashkenazy|p01_067|"03. No. 2. Prelude in C minor, BWV 847-1"
p01|Ashkenazy|p01_068|"03. No. 20. Prelude in A minor, BWV 865-1"
p01|Ashkenazy|p01_069|"03. Waltz in F major, op.34 no.3-1"
p01|Ashkenazy|p01_070|"04 - Impromptu for Piano no 4 in C sharp minor, B 87 Op. 66 'Fantaisie-Impromptu'-1"
p01|Ashkenazy|p01_071|"04 - Moments musicaux (6) for piano, Op. 16- 4. Presto E minor-1"
p01|Ashkenazy|p01_072|"04 - Tendres Reproches, Op.72 No.3-1"
p01|Ashkenazy|p01_073|"04 - Waltzes for Piano, Op. 69 no 1 in A flat major, B 95 'L'adieu'-1"
p01|Ashkenazy|p01_074|"04 Frederik Chopin - Ballade No. 3 in A Flat Major, Op. 47-1"
p01|Ashkenazy|p01_075|"04 Frederik Chopin - Etude in E Major, Op. 10, No. 3 `Tristesse'-1"
p01|Ashkenazy|p01_076|"04 Ludwig van Beethoven -   III. Adagio sostenuto-1"
p01|Ashkenazy|p01_077|"04 Ludwig van Beethoven -   IV. Prestissimo-1"
p01|Ashkenazy|p01_078|"04 Ludwig van Beethoven -   IV. Rondo Allegretto"
p01|Ashkenazy|p01_079|"04 Ludwig van Beethoven -   IV. Rondo Allegro"
p01|Ashkenazy|p01_080|"04 Ludwig van Beethoven -   IV. Rondo Poco allegretto e grazioso"
p01|Ashkenazy|p01_081|"04 Ludwig van Beethoven - Piano Sonata No.15 in D major, Op.28 (1801) I. Allegro"
p01|Ashkenazy|p01_082|"04 Ludwig van Beethoven - Piano Sonata No.18 in E-flat major, Op.31, No.3 (1802) I. Allegro"
p01|Ashkenazy|p01_083|"04 Ludwig van Beethoven - Piano Sonata No.22 in F major, Op.54 (1804) I. In tempo d'un menuetto"
p01|Ashkenazy|p01_084|"04 Ludwig van Beethoven - Piano Sonata No.26 in E-flat major, Op.81a 'Les Adieux' (1810) I. Adagio - Allegro"
p01|Ashkenazy|p01_085|"04 Ludwig van Beethoven - Piano Sonata No.31 in A-flat major, Op.110 (1821) I. Moderato cantabile, molto espressivo"
p01|Ashkenazy|p01_086|"04 Vladimir Ashkenazy (CD1) - F. Chopin - Prelude No. 25 in C-sharp minor, Op. 45-1"
p01|Ashkenazy|p01_087|"04 Vladimir Ashkenazy (CD2) - F. SchubertPiano Sonata in D major, D 850I. Allegro vivace-1"
p01|Ashkenazy|p01_088|"04 Vladimir Ashkenazy - Ballade No.4 in F minor, op.52-1"
p01|Ashkenazy|p01_089|"04 Vladimir Ashkenazy - Mazurka Op.3 No.10-1"
p01|Ashkenazy|p01_090|"04. No. 11. Fugue in F major, BWV 880-1"
p01|Ashkenazy|p01_091|"04. No. 2. Fugue in C minor, BWV 847-1"
p01|Ashkenazy|p01_092|"04. No. 20. Fugue in A minor, BWV 865-1"
p01|Ashkenazy|p01_093|"04. Waltz in A flat major, op.42-1"
p01|Ashkenazy|p01_094|"05 - Berceuse, Op.72 No.2-1"
p01|Ashkenazy|p01_095|"05 - Moments musicaux (6) for piano, Op. 16- 5. Adagio sostenuto D flat major-1"
p01|Ashkenazy|p01_096|"05 - Nocturnes for Piano, Op. 15 no 2 in F sharp major-1"
p01|Ashkenazy|p01_097|"05 - Variation for Piano in E major (from Hexmeron)-1"
p01|Ashkenazy|p01_098|"05 Frederik Chopin - Mazurka in D Major, Op. 33, No. 2-1"
p01|Ashkenazy|p01_099|"05 Frederik Chopin - Nocturne in D Flat Major, Op. 27, No. 2-1"
p01|Ashkenazy|p01_100|"05 Ludwig van Beethoven -   II. Allegretto-1"
p01|Ashkenazy|p01_101|"05 Ludwig van Beethoven -   II. Allegro molto-1"
p01|Ashkenazy|p01_102|"05 Ludwig van Beethoven -   II. Andante espressivo-1"
p01|Ashkenazy|p01_103|"05 Ludwig van Beethoven -   II. Andante-1"
p01|Ashkenazy|p01_104|"05 Ludwig van Beethoven -   II. Scherzo Allegretto vivace"
p01|Ashkenazy|p01_105|"05 Ludwig van Beethoven -   IV. Introduzione Largo - Fuga Allegro risoluto"
p01|Ashkenazy|p01_106|"05 Ludwig van Beethoven - Piano Sonata No.12 in A-flat major, Op.26 (1801) I. Andante con variazioni"
p01|Ashkenazy|p01_107|"05 Ludwig van Beethoven - Piano Sonata No.2 in A major, Op.2, No.2 (1795) I. Allegro vivace"
p01|Ashkenazy|p01_108|"05 Ludwig van Beethoven - Piano Sonata No.5 in C minor, Op.10, No.1 (1798) I. Molto allegro e con brio"
p01|Ashkenazy|p01_109|"05 Ludwig van Beethoven - Piano Sonata No.8 in C minor, Op.13 'Pathetique' (1798) I. Grave - Allegro di molto e con brio"
p01|Ashkenazy|p01_110|"05 Vladimir Ashkenazy (CD1) - Mazurka No. 37 in A-flat major, Op. 59, No. 2-1"
p01|Ashkenazy|p01_111|"05 Vladimir Ashkenazy (CD2) - II. Con moto-1"
p01|Ashkenazy|p01_112|"05 Vladimir Ashkenazy - Etude Op.8 No.5-1"
p01|Ashkenazy|p01_113|"05 Vladimir Ashkenazy - Prelude in C sharp minor, op.45-1"
p01|Ashkenazy|p01_114|"05. No. 12. Prelude in F minor, BWV 881-1"
p01|Ashkenazy|p01_115|"05. No. 21. Prelude in B♭ major, BWV 866-1"
p01|Ashkenazy|p01_116|"05. No. 3. Prelude in C♯ major, BWV 848-1"
p01|Ashkenazy|p01_117|"05. Waltz in A flat major, op.69 no.1-1"
p01|Ashkenazy|p01_118|"06 - Ballade for Piano no 3 in A flat major, B 136Op. 47-1"
p01|Ashkenazy|p01_119|"06 - Berceuse for Piano in D flat major, B 154 Op. 57-1"
p01|Ashkenazy|p01_120|"06 - Les Saisons, Op.37A - I. Janvier. Au Coin Du Feu-1"
p01|Ashkenazy|p01_121|"06 - Moments musicaux (6) for piano, Op. 16- 6. Maestoso C major-1"
p01|Ashkenazy|p01_122|"06 Frederik Chopin - Etude in C Minor, Op. 10, No. 12 `Revolutionary'-1"
p01|Ashkenazy|p01_123|"06 Frederik Chopin - Nocturne in B Major, Op. 32, No. 1-1"
p01|Ashkenazy|p01_124|"06 Ludwig van Beethoven -   II. Adagio cantabile-1"
p01|Ashkenazy|p01_125|"06 Ludwig van Beethoven -   II. Adagio molto-1"
p01|Ashkenazy|p01_126|"06 Ludwig van Beethoven -   II. Largo appassionato-1"
p01|Ashkenazy|p01_127|"06 Ludwig van Beethoven -   II. Scherzo & Trio Allegro molto"
p01|Ashkenazy|p01_128|"06 Ludwig van Beethoven -   III. Adagio, ma non troppo-1"
p01|Ashkenazy|p01_129|"06 Ludwig van Beethoven -   III. Menuetto & Trio Moderato e grazioso"
p01|Ashkenazy|p01_130|"06 Ludwig van Beethoven -   III. Scherzo & Trio Allegro vivace"
p01|Ashkenazy|p01_131|"06 Ludwig van Beethoven -   III. Vivacissimamente-1"
p01|Ashkenazy|p01_132|"06 Ludwig van Beethoven - Piano Sonata No.23 in F minor, Op.57 'Appassionata' (1805) I. Allegro assai"
p01|Ashkenazy|p01_133|"06 Vladimir Ashkenazy (CD1) - Scherzo No. 4 in E major, Op. 54-1"
p01|Ashkenazy|p01_134|"06 Vladimir Ashkenazy (CD2) - III. Scherzo. Allegro vivace-1"
p01|Ashkenazy|p01_135|"06 Vladimir Ashkenazy - Etude Op.8 No.7-1"
p01|Ashkenazy|p01_136|"06 Vladimir Ashkenazy - Scherzo No.1 in B minor, op.20-1"
p01|Ashkenazy|p01_137|"06. No. 12. Fugue in F minor, BWV 881-1"
p01|Ashkenazy|p01_138|"06. No. 21. Fugue in B♭ major, BWV 866-1"
p01|Ashkenazy|p01_139|"06. No. 3. Fugue in C♯ major, BWV 848-1"
p01|Ashkenazy|p01_140|"06. Waltz in B minor, op.69, no.2-1"
p01|Ashkenazy|p01_141|"07 - Les Saisons, Op.37A - II. Fevrier. Carnaval-1"
p01|Ashkenazy|p01_142|"07 - Mazurkas for Piano, B 61 Op. 7 no 1 in B flat major-1"
p01|Ashkenazy|p01_143|"07 - Morceaux de fantaisie (5), for piano, Op. 3- 1. Elegie E flat minor-1"
p01|Ashkenazy|p01_144|"07 - Waltzes for Piano, B 164-Op. 64 no 2 in C sharp minor-1"
p01|Ashkenazy|p01_145|"07 Frederik Chopin - Waltz in A Flat Major, Op. 69, No. 1 `L'Adieu'-1"
p01|Ashkenazy|p01_146|"07 Frederik Chopin - Waltz in C Sharp Minor, Op. 64, No. 2-1"
p01|Ashkenazy|p01_147|"07 Ludwig van Beethoven -   II. Andante con moto-1"
p01|Ashkenazy|p01_148|"07 Ludwig van Beethoven -   III. Finale Prestissimo"
p01|Ashkenazy|p01_149|"07 Ludwig van Beethoven -   III. Marcia funebre sulla morte d'un eroe-1"
p01|Ashkenazy|p01_150|"07 Ludwig van Beethoven -   III. Rondo Allegro"
p01|Ashkenazy|p01_151|"07 Ludwig van Beethoven -   III. Scherzo & Trio Allegretto"
p01|Ashkenazy|p01_152|"07 Ludwig van Beethoven -   IV. Fuga Allegro ma non troppo"
p01|Ashkenazy|p01_153|"07 Ludwig van Beethoven -   IV. Presto con fuoco-1"
p01|Ashkenazy|p01_154|"07 Ludwig van Beethoven -   IV. Rondo Allegro ma non troppo"
p01|Ashkenazy|p01_155|"07 Ludwig van Beethoven - Piano Sonata No.27 in E minor, Op.90 (1814) I. Mit Lebhaftigkeit und durchaus mit Empfindung und Ausdruck"
p01|Ashkenazy|p01_156|"07 Vladimir Ashkenazy (CD1) - P.I. Tchaikovsky - Dumka, Op. 59-1"
p01|Ashkenazy|p01_157|"07 Vladimir Ashkenazy (CD2) - IV. Rondo. Allegro moderato-1"
p01|Ashkenazy|p01_158|"07 Vladimir Ashkenazy - Etude Op.8 No.10-1"
p01|Ashkenazy|p01_159|"07 Vladimir Ashkenazy - Scherzo No.2 in B flat minor, op.31-1"
p01|Ashkenazy|p01_160|"07. No. 13. Prelude in F♯ major, BWV 882-1"
p01|Ashkenazy|p01_161|"07. No. 22. Prelude in B♭ minor, BWV 867-1"
p01|Ashkenazy|p01_162|"07. No. 4. Prelude in C♯ minor, BWV 849-1"
p01|Ashkenazy|p01_163|"07. Waltz in G flat major, op.70 no.1-1"
p01|Ashkenazy|p01_164|"08 - Etudes for Piano, Op. 25 no 1 in A flat major-1"
p01|Ashkenazy|p01_165|"08 - Les Saisons, Op.37A - IV. Mars. Chant De L'alouette-1"
p01|Ashkenazy|p01_166|"08 - Morceaux de fantaisie (5), for piano, Op. 3- 2. Prelude C sharp minor-1"
p01|Ashkenazy|p01_167|"08 - Nocturnes for Piano, B 152-Op. 55 no 1 in F minor-1"
p01|Ashkenazy|p01_168|"08 Frederik Chopin - Berceuse in D Flat Major, Op. 57-1"
p01|Ashkenazy|p01_169|"08 Frederik Chopin - Nocturne in E Flat Major, Op. 9, No. 2-1"
p01|Ashkenazy|p01_170|"08 Ludwig van Beethoven -   II. Nicht zu geschwind und sehr singbar vorgetragen-1"
p01|Ashkenazy|p01_171|"08 Ludwig van Beethoven -   III. Allegro ma non troppo - Presto-1"
p01|Ashkenazy|p01_172|"08 Ludwig van Beethoven -   IV. Allegro-1"
p01|Ashkenazy|p01_173|"08 Ludwig van Beethoven -   IV. Rondo. Grazioso-1"
p01|Ashkenazy|p01_174|"08 Ludwig van Beethoven - Piano Sonata No.16 in G major, Op.31, No.1 (1802) I. Allegro vivace"
p01|Ashkenazy|p01_175|"08 Ludwig van Beethoven - Piano Sonata No.19 in G minor, Op.49, No.1 (1792) I. Andante"
p01|Ashkenazy|p01_176|"08 Ludwig van Beethoven - Piano Sonata No.32 in C minor, Op.111 (1822) I. Maestoso - Allegro con brio ed appassionato"
p01|Ashkenazy|p01_177|"08 Ludwig van Beethoven - Piano Sonata No.6 in F major, Op.10, No.2 (1798) I. Allegro"
p01|Ashkenazy|p01_178|"08 Ludwig van Beethoven - Piano Sonata No.9 in E major, Op.14, No.1 (1799) I. Allegro"
p01|Ashkenazy|p01_179|"08 Vladimir Ashkenazy (CD1) - A. Scriabin - Sonata No. 5 in F-sharp minor, Op. 53-1"
p01|Ashkenazy|p01_180|"08 Vladimir Ashkenazy (CD2) - S. ProkofievRomeo and Juliet (Suite) op.75R.and J. before parting-1"
p01|Ashkenazy|p01_181|"08 Vladimir Ashkenazy - Etude Op.8 No.11-1"
p01|Ashkenazy|p01_182|"08 Vladimir Ashkenazy - Scherzo No.3 in C sharp minor, op.39-1"
p01|Ashkenazy|p01_183|"08. No. 13. Fugue in F♯ major, BWV 882-1"
p01|Ashkenazy|p01_184|"08. No. 22. Fugue in B♭ minor, BWV 867-1"
p01|Ashkenazy|p01_185|"08. No. 4. Fugue in C♯ minor, BWV 849-1"
p01|Ashkenazy|p01_186|"08. Waltz in F minor, op.70 no.2-1"
p01|Ashkenazy|p01_187|"09 - Etudes for Piano, Op. 25 no 12 in C minor-1"
p01|Ashkenazy|p01_188|"09 - Etudes for Piano, Op. 25 no 2 in F minor-1"
p01|Ashkenazy|p01_189|"09 - Les Saisons, Op.37A - V. Avril. Perce-Neige-1"
p01|Ashkenazy|p01_190|"09 - Morceaux de fantaisie (5), for piano, Op. 3- 3. Melodie E major-1"
p01|Ashkenazy|p01_191|"09 Frederik Chopin - Etude in G Flat Major, Op. 10, No. 5 `Black Keys'-1"
p01|Ashkenazy|p01_192|"09 Frederik Chopin - Waltz in G Flat Major, Op. 70, No. 1-1"
p01|Ashkenazy|p01_193|"09 Ludwig van Beethoven -   II. Adagio grazioso-1"
p01|Ashkenazy|p01_194|"09 Ludwig van Beethoven -   II. Allegretto 2-1"
p01|Ashkenazy|p01_195|"09 Ludwig van Beethoven -   II. Allegretto-1"
p01|Ashkenazy|p01_196|"09 Ludwig van Beethoven -   II. Arietta Adagio molto, semplice e cantabile"
p01|Ashkenazy|p01_197|"09 Ludwig van Beethoven -   II. Rondo Allegro"
p01|Ashkenazy|p01_198|"09 Ludwig van Beethoven - Piano Sonata No.13 in E-flat major, Op.27, No.1 (1801) I Andante - Allegro"
p01|Ashkenazy|p01_199|"09 Ludwig van Beethoven - Piano Sonata No.24 in F-sharp major, Op.78 (1809) I. Adagio cantabile - Allegro ma non troppo"
p01|Ashkenazy|p01_200|"09 Ludwig van Beethoven - Piano Sonata No.28 in A major, Op.101 (1816) I. Etwas lebhaft, und mit der innigsten Empfindung"
p01|Ashkenazy|p01_201|"09 Ludwig van Beethoven - Piano Sonata No.3 in C major, Op.2, No.3 (1795) I. Allegro con brio"
p01|Ashkenazy|p01_202|"09 Vladimir Ashkenazy (CD1) - S. Rachmaninoff - Etude Tableau in C minor, Op. 39 No. 1-1"
p01|Ashkenazy|p01_203|"09 Vladimir Ashkenazy (CD2) - Masks-1"
p01|Ashkenazy|p01_204|"09 Vladimir Ashkenazy - Etude Op.8 No.12-1"
p01|Ashkenazy|p01_205|"09 Vladimir Ashkenazy - Scherzo No.4 in E major, op.54-1"
p01|Ashkenazy|p01_206|"09. No. 14. Prelude in F♯ minor, BWV 883-1"
p01|Ashkenazy|p01_207|"09. No. 23. Prelude in B major, BWV 868-1"
p01|Ashkenazy|p01_208|"09. No. 5. Prelude in D major, BWV 850-1"
p01|Ashkenazy|p01_209|"09. Waltz in D flat major, op.70 no.3-1"
p01|Ashkenazy|p01_210|"10 - Barcarolle for Piano in F sharp major, B 158Op. 60-1"
p01|Ashkenazy|p01_211|"10 - Les Saisons, Op.37A - VI. Mai. Les Nuits De Mai-1"
p01|Ashkenazy|p01_212|"10 - Morceaux de fantaisie (5), for piano, Op. 3- 4. Polichinelle F sharp minor-1"
p01|Ashkenazy|p01_213|"10 - Nocturnes for Piano, Op. 27 no 2 in D flat major, B 96-1"
p01|Ashkenazy|p01_214|"10 Frederik Chopin - Nocturne in F Minor, Op. 55, No. 1-1"
p01|Ashkenazy|p01_215|"10 Frederik Chopin - Piano Sonata No. 2 in B Flat Minor, Op. 35 I. Grave -- Doppio Movimento"
p01|Ashkenazy|p01_216|"10 Ludwig van Beethoven -   II. Adagio-1"
p01|Ashkenazy|p01_217|"10 Ludwig van Beethoven -   II. Allegro molto e vivace-1"
p01|Ashkenazy|p01_218|"10 Ludwig van Beethoven -   II. Allegro vivace-1"
p01|Ashkenazy|p01_219|"10 Ludwig van Beethoven -   II. Lebhaft. Marschmabig-1"
p01|Ashkenazy|p01_220|"10 Ludwig van Beethoven -   III. Presto-1"
p01|Ashkenazy|p01_221|"10 Ludwig van Beethoven -   III. Rondo Allegretto"
p01|Ashkenazy|p01_222|"10 Ludwig van Beethoven -   III. Rondo Allegro commodo"
p01|Ashkenazy|p01_223|"10 Ludwig van Beethoven - Piano Sonata No.20 in G major, Op.49, No.2 (1792) I. Allegro ma non troppo"
p01|Ashkenazy|p01_224|"10 Vladimir Ashkenazy (CD1) - Etude Tableau in A minor, Op. 39 No. 2-1"
p01|Ashkenazy|p01_225|"10 Vladimir Ashkenazy (CD2) - S. TaneyevPrelude and Fugue in G sharp minor, op.29-1"
p01|Ashkenazy|p01_226|"10 Vladimir Ashkenazy - Prelude Op.22 No.1-1"
p01|Ashkenazy|p01_227|"10. No. 14. Fugue in F♯ minor, BWV 883-1"
p01|Ashkenazy|p01_228|"10. No. 23. Fugue in B major, BWV 868-1"
p01|Ashkenazy|p01_229|"10. No. 5. Fugue in D major, BWV 850-1"
p01|Ashkenazy|p01_230|"10. Waltz in E minor, Op. posth.-1"
p01|Ashkenazy|p01_231|"11 - Andantino for Piano in G minor, B 117 'Wiosna'-1"
p01|Ashkenazy|p01_232|"11 - Les Saisons, Op.37A - VII. Juin. Barcarolle-1"
p01|Ashkenazy|p01_233|"11 - Morceaux de fantaisie (5), for piano, Op. 3- 5. Serenade B flat minor-1"
p01|Ashkenazy|p01_234|"11 - Waltzes for Piano, B 164 Op. 64 no 3 in A flat major-1"
p01|Ashkenazy|p01_235|"11 Frederik Chopin - Mazurka in B Flat Major, Op. 7, No. 1-1"
p01|Ashkenazy|p01_236|"11 Frederik Chopin - Piano Sonata No. 2 in B Flat Minor, Op. 35 II. Scherzo"
p01|Ashkenazy|p01_237|"11 Ludwig van Beethoven -   II. Tempo di menuetto-1"
p01|Ashkenazy|p01_238|"11 Ludwig van Beethoven -   III. Adagio con espressione-1"
p01|Ashkenazy|p01_239|"11 Ludwig van Beethoven -   III. Langsam und sehnsuchtsvoll - Geschwind, doch nicht zu sehr und mit Entschlossenheit-1"
p01|Ashkenazy|p01_240|"11 Ludwig van Beethoven -   III. Scherzo & Trio Allegro"
p01|Ashkenazy|p01_241|"11 Ludwig van Beethoven - Piano Sonata No.10 in G major, Op.14, No.2 (1799) I. Allegro"
p01|Ashkenazy|p01_242|"11 Vladimir Ashkenazy (CD1) - Etude Tableau in E-flat minor, Op. 39 No. 5-1"
p01|Ashkenazy|p01_243|"11 Vladimir Ashkenazy - Prelude Op.22 No.2-1"
p01|Ashkenazy|p01_244|"11. No. 15. Prelude in G major, BWV 884-1"
p01|Ashkenazy|p01_245|"11. No. 24. Prelude in B minor, BWV 869-1"
p01|Ashkenazy|p01_246|"11. No. 6. Prelude in D minor, BWV 851-1"
p01|Ashkenazy|p01_247|"11. Nocturne in E flat major, op.9 no.2-1"
p01|Ashkenazy|p01_248|"12 - Fragment (1917)-1"
p01|Ashkenazy|p01_249|"12 - Les Saisons, Op.37A - VIII. Juillet. Chant Du Faucheur-1"
p01|Ashkenazy|p01_250|"12 - Prelude for Piano in C sharp minor, B 141Op. 45-1"
p01|Ashkenazy|p01_251|"12 - Preludes for Piano, Op. 28 no 7 in A major-1"
p01|Ashkenazy|p01_252|"12 Frederik Chopin - Piano Sonata No. 2 in B Flat Minor, Op. 35 III. March Funebre"
p01|Ashkenazy|p01_253|"12 Frederik Chopin - Scherzo No. 2 in B Flat Minor, Op. 31-1"
p01|Ashkenazy|p01_254|"12 Ludwig van Beethoven -   II. Andante-1"
p01|Ashkenazy|p01_255|"12 Ludwig van Beethoven -   IV. Allegro assai-1"
p01|Ashkenazy|p01_256|"12 Ludwig van Beethoven -   IV. Allegro vivace - Presto-1"
p01|Ashkenazy|p01_257|"12 Vladimir Ashkenazy - Prelude Op.22 No.3-1"
p01|Ashkenazy|p01_258|"12. No. 15. Fugue in G major, BWV 884-1"
p01|Ashkenazy|p01_259|"12. No. 24. Fugue in B minor, BWV 869-1"
p01|Ashkenazy|p01_260|"12. No. 6. Fugue in D minor, BWV 851-1"
p01|Ashkenazy|p01_261|"12. Nocturne in F sharp major, op.15 no.2-1"
p01|Ashkenazy|p01_262|"13 - Les Saisons, Op.37A - IX. Aout. La Moisson-1"
p01|Ashkenazy|p01_263|"13 - Prelude in D minor, op.posth (1917)-1"
p01|Ashkenazy|p01_264|"13 - Preludes for Piano, Op. 28 no 23 in F major-1"
p01|Ashkenazy|p01_265|"13 - Waltzes for Piano, B 164-Op. 64 no 1 in D flat major 'Minute Waltz'-1"
p01|Ashkenazy|p01_266|"13 Frederik Chopin - Piano Sonata No. 2 in B Flat Minor, Op. 35 IV. Finale Presto"
